HTNO,182AB1,182AG1,182AM1,182AR1,182AB2,182AG2,182AM2,182AR2,182ABd,182AGd,182AMd,182ARd,182AB1_Label,182AG1_Label,182AM1_Label,182AR1_Label,182AB2_Label,182AG2_Label,182AM2_Label,182AR2_Label
22WH1A12A0,13.0,10.0,19.0,29.0,21.0,12.0,17.0,18.0,8.0,2.0,-2.0,-11.0,beginner,beginner,intermediate,advanced,intermediate,beginner,intermediate,intermediate
22WH1A12A1,24.0,14.0,26.0,24.0,25.0,17.0,27.0,24.0,1.0,3.0,1.0,0.0,advanced,beginner,advanced,advanced,advanced,intermediate,advanced,advanced
22WH1A12A2,32.0,27.0,32.0,33.0,29.0,24.0,35.0,32.0,-3.0,-3.0,3.0,-1.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A12A3,33.0,31.0,30.0,35.0,32.0,33.0,33.0,35.0,-1.0,2.0,3.0,0.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A12A4,27.0,19.0,23.0,32.0,24.0,24.0,29.0,33.0,-3.0,5.0,6.0,1.0,advanced,intermediate,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A12A5,28.0,28.0,28.0,35.0,26.0,28.0,29.0,33.0,-2.0,0.0,1.0,-2.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A12A6,25.0,15.0,24.0,34.0,5.0,5.0,-1.0,5.0,-20.0,-10.0,-25.0,-29.0,advanced,intermediate,advanced,advanced,beginner,beginner,beginner,beginner
22WH1A12A7,21.0,15.0,27.0,24.0,19.0,21.0,31.0,26.0,-2.0,6.0,4.0,2.0,intermediate,intermediate,advanced,advanced,intermediate,intermediate,advanced,advanced
22WH1A12A8,29.0,27.0,32.0,33.0,29.0,24.0,32.0,34.0,0.0,-3.0,0.0,1.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A12A9,20.0,13.0,24.0,29.0,32.0,17.0,27.0,22.0,12.0,4.0,3.0,-7.0,intermediate,beginner,advanced,advanced,advanced,intermediate,advanced,advanced
22WH1A12B0,23.0,21.0,24.0,33.0,29.0,20.0,30.0,27.0,6.0,-1.0,6.0,-6.0,advanced,intermediate,advanced,advanced,advanced,intermediate,advanced,advanced
22WH1A12B1,32.0,27.0,28.0,35.0,31.0,25.0,31.0,35.0,-1.0,-2.0,3.0,0.0,advanced,advanced,advanced,advanced,advanced,advanced,advanced,advanced
22WH1A12B2,13.0,13.0,15.0,18.0,16.0,10.0,19.0,12.0,3.0,-3.0,4.0,-6.0,beginner,beginner,intermediate,intermediate,intermediate,beginner,intermediate,beginner
